Object, RefMetadataComponentId, RefMetadataComponentName, RefMetadataComponentNamespace, RefMetadataComponentType,ApexClass,ApexPage,CustomField,FieldSet,FlexiPage,Flow,Layout,LookupFilter,ValidationRule,WebLink,WorkflowFieldUpdate
Account,00N4O000006pnUJUAY,SPL_SalesDistrict,null,CustomField,X,,,,,,,,,,
Account,00N4O000006pnUKUAY,SPL_SearchTerm,null,CustomField,X,,,,,,X,,,,
Account,00N4O000006pnULUAY,SPL_ServiceMerchandising,null,CustomField,,,,,,,,,,,
Account,00N4O000006pnUMUAY,SPL_ServiceStatus,null,CustomField,X,,,,,,X,,,,
Account,00N4O000006pnUNUAY,SPL_SoldToGroupAccount,null,CustomField,X,,,,,X,X,,X,,
Account,00N4O000006pnUOUAY,SPL_SoldToGroupCode,null,CustomField,X,,,,,X,X,,X,,
Account,00N4O000006pnUPUAY,SPL_StateRegistration,null,CustomField,,,,,,X,X,,,,
Account,00N4O000006pnUQUAY,SPL_Status,null,CustomField,X,,X,,,,X,,,,
Account,00N4O000006pnURUAY,SPL_StoreFormat,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnUSUAY,SPL_Street,null,CustomField,,,X,,,X,X,,,,
Account,00N4O000006pnUTUAY,SPL_SubChannelSort,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnUUUAY,SPL_SubRegionMerchandising,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnUVUAY,SPL_SubTerritoryMerchandising,null,CustomField,,,,,,,,,,,
Account,00N4O000006pnUWUAY,SPL_TerritoryBR,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnUXUAY,SPL_TerritoryCode,null,CustomField,X,,X,,,,X,,,,
Account,00N4O000006pnUYUAY,SPL_TerritoryMerchandising,null,CustomField,,,,,,,,,,,
Account,00N4O000006pnUZUAY,SPL_TimeToReceiveMaterial,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnUaUAI,SPL_UF,null,CustomField,X,,X,,,X,X,,,,
Account,00N4O000006pnUbUAI,SPL_Visibility,null,CustomField,,,,,,,X,,,,
Account,00N4O000006WCu5UAG,SPL_AbrasFarmaRanking,null,CustomField,,,,,,,X,,,,
Account,00N4O000006WCu6UAG,SPL_Classification,null,CustomField,,,,,,,X,,,,
Account,00N4O000006WCu7UAG,SPL_ShareInformation,null,CustomField,,,,,,,X,,,,
Account,00N4O000006tevDUAQ,TLB_AccountBankCode,null,CustomField,,,,,,X,X,,,,
Account,00N4O000006tevGUAQ,TLB_BankCodeID,null,CustomField,,,,,,X,X,,,,
Account,00N4O000006tevHUAQ,TLB_BankCode,null,CustomField,,,,,,X,X,,,,
Account,00N4O000006tevKUAQ,TLB_BusinessType,null,CustomField,,,,,,,X,,,,
Account,00N4O000006tevLUAQ,TLB_BuyInnovation,null,CustomField,,,,,,,,,,,
Account,00N4O000006tevMUAQ,TLB_BuyMixGold,null,CustomField,,,,,,,,,,,
Account,00N4O000006tevNUAQ,TLB_CNPJ,null,CustomField,X,,,,,X,X,,,,
Account,00N4O000006tevOUAQ,TLB_CPF,null,CustomField,,,,,,,X,,,,
Account,00N4O000006tevPUAQ,TLB_CVACode,null,CustomField,X,,,,,,,,,,
Account,00N4O000006tevQUAQ,TLB_CVAImage,null,CustomField,,,X,,,,X,,,,
Account,00N4O000006wowUUAQ,TLB_BestTimetoCall,null,CustomField,,,X,,,,X,,,,
Account,00N4O000006tevSUAQ,TLB_CreditLimitAvailable,null,CustomField,X,,,,,X,,,,,
Account,00N4O000006tevTUAQ,TLB_CreditLimit,null,CustomField,X,,,,,X,,,,,
Account,00N4O000006tevUUAQ,TLB_Creditblock,null,CustomField,X,,X,,,,X,,,,
