Object, MetadataComponentId, MetadataComponentName, MetadataComponentNamespace, MetadataComponentType, RefMetadataComponentId, RefMetadataComponentName, RefMetadataComponentNamespace, RefMetadataComponentType
Account,01p3X00000HGM9tQAH,TPM_Security_Maintenance_Class_Test,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HGMA9QAP,TPM_SoCo_TacticTriggerHandlerTest,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HGMAEQA5,TPM_SyncPromotionWithHerokuBatchTest,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HGMAPQA5,TPM_TacticFilterCriteriaJSONBatchDMTest,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HGMAbQAP,TPM_Tactic_FundHandler_Test,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HGMB7QAP,TPM_UCPCCustomerManagerBatch_Test,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HGMBBQA5,TPM_UCPC_ProdManagerMigrationBatchTest,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HGMBHQA5,TPM_UKITestFactory,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HGMBTQA5,TPM_UpdateFundActualsBatchTest,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HGMBYQA5,TPM_UpdatePhaseAndGrpTextDMBatchTest,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HGMBgQAP,TPM_UpdatePromotionTypeControllerTest,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HGMBiQAP,TPM_UpdatePromotion_Status_Test,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HGMC6QAP,TPM_UserCustomerProductHelperDMTest,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HGMCRQA5,TPM_Utility_Test,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HGMCfQAP,TPM_WorkflowEngineActionUtil_Test,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HGMCmQAP,TPM_WorkflowEngine_CX_Test,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HGMCuQAP,TPM_approveReject_Test,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HGMCyQAP,TPM_fundAmountCalculation_Test,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HGMD6QAP,TPM_tacticTriggerHandlerTest,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HGMD9QAP,TPM_validProdsCalculationBatchTest,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HGgeVQAT,TPM_MuleCallout_Queueable_Test,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HGmclQAD,TPM_CheckBreachesByFEU_Batch_Test,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HGmctQAD,TPM_DocuSignUtility_cx,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HGmd5QAD,TPM_ParentPromoAccHierarchyBatch_Test,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HGmdMQAT,TPM_RTRAnnualAggrementFilter_CBP_Test,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HGmdSQAT,TPM_RenewAnnualAgreement_Batch_Test,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HGmdUQAT,TPM_RenewAnnualAgreement_Utility_Test,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HH2iEQAT,Rex_AccountCustomerNumber,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HH7M8QAL,TPM_Promotion_Utility_Test,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HHKWFQA5,TPM_AutoRenewDeltaHandling_Batch_Test,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HHNZOQA5,TPM_UpdatePrdResolutionIdBatch_Test,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HHTMDQA5,TPM_RebateRecipientTrgHandlerTest,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HLzkRQAT,TPM_OffInvResultAggrAndEndDate_BatchTest,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01p3X00000HPSbQQAX,TPM_Promotion_Utility1_EU_Test,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01pQx000000ekH4IAI,KAM_CBPCopyHelper_Test,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01pQx000000ekHNIAY,REX_TestDataFactory,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,01pQx000000ekHOIAY,TPM_CreateCreditMemo,null,ApexClass,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,04Y3X000000MfDfUAK,TPM_Customer_Number_Populate_EU,null,WorkflowFieldUpdate,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,0990N000000QsPyQAK,REX_DirectOrderDetailsComp,null,ApexComponent,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,0990N000000QsPzQAK,REX_IndirectOrderDetailsComp,null,ApexComponent,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,0990N000000Uw1qQAC,REX_OrderConfirmationForBelgium,null,ApexComponent,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,301JW00000NRpcjYAD,CGT Populate Customer EU,null,Flow,00N0N00000Fa93mUAB,Account_Number,ACCL,CustomField
Account,00h3X00000kOvlPQAS,TPM_Customer_EU,null,Layout,00N0N00000Fa93nUAB,Account_Template_Description,ACCL,CustomField
Account,00h3X00000kOvlOQAS,TPM Customer,null,Layout,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,00h3X00000kOvlPQAS,TPM_Customer_EU,null,Layout,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,00N0N00000HV7qGUAT,REX_Record_Lock,null,CustomField,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,00N0N00000HV7qxUAD,REX_Record_Lock,null,CustomField,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,00N3X00000M7PpBUAV,TPM_AccountTemplate,null,CustomField,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,00N3X00000M7PwKUAV,TPM_Ext_Id_Name,null,CustomField,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p0N00000AtFVZQA3,REX_DataFactory,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p0N00000CSvcaQAD,REX_StoreProductHandlerTest,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p0N00000CT5Z7QAL,REX_CloneAccountControllerClass,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000F9onUQAR,REX_BankAccountCheckUpdateBatchTest,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGLzUQAX,TPM_AccountRemoteActionExtension,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGLzVQAX,TPM_AccountRemoteActionExtensionTest,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGLzaQAH,TPM_AccountTestFactory,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGLzbQAH,TPM_AccountTestFactoryCore,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGLzdQAH,TPM_AccountTriggerHandler_Test,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGLzgQAH,TPM_AddNewCustomer_Test,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGLzoQAH,TPM_ApexSharing_Utility_Test,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGLzvQAH,TPM_ApprovalUtility_Test,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGLzyQAH,TPM_AssignCustomerManagerTest,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM06QAH,TPM_AuditHistoryBatchTest,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM0LQAX,TPM_BlendedPricebatchTest,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM0NQAX,TPM_CBRShareTriggerHandler_Test,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM0OQAX,TPM_CBR_DeliveryProfileShare_Test,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM0UQAX,TPM_CannibalisationRateController_Test,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM0WQAX,TPM_CannibalisationRateHelperDMTest,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM0YQAX,TPM_CannibalisationRateTriggerTest,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM0aQAH,TPM_CannibalisationRateUtility_Test,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM0fQAH,TPM_ChildTacticCostCalculationBatchTest,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM0qQAH,TPM_CopyConditionSyncWithHerokuBatchTest,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM0wQAH,TPM_CreateDefaultViewsDMBatchTest,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM0yQAH,TPM_CreateFundCustomController_Test,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM18QAH,TPM_CreatePromotionControllerSoCoTest,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM1EQAX,TPM_CreateTransactionTest,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM1IQAX,TPM_CustomerManager_Test,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM1TQAX,TPM_CustomerUtility_Test,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM1cQAH,TPM_DefaultSoldTOCustomersController,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM1kQAH,TPM_DeliveryProfileController_Test,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM1mQAH,TPM_DeliveryProfileHelperDMTest,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM1rQAH,TPM_DeliveryProfile_TriggerHandler_Test,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM2IQAX,TPM_FixExistingViewsDMBatchTest,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM2KQAX,TPM_FundCloseStatusHandler_Test,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM2PQAX,TPM_FundShareDeleteBatch_Test,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM2SQAX,TPM_FundShareTriggerHandler_Test,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM2ZQAX,TPM_FundTransactionHandler_Test,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM2hQAH,TPM_FundTransferTransactionHandler_Test,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM2jQAH,TPM_FundTransferUpdateHandler_Test,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM31QAH,TPM_IIBBTax_TriggerHandlerTest,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM39QAH,TPM_InvalidProdsCalculationBatchTest,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM3YQAX,TPM_LTAInFlightNotificationBatchTest,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM49QAH,TPM_MassCustomerRelationshipTest,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM4DQAX,TPM_MoveLiftPercToVPC_SoCo_Test,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM4FQAX,TPM_MoveTacPrdsToPromotion_SoCo_Test,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM4HQAX,TPM_MultiFundAuditTrailUtility_Test,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
Account,01p3X00000HGM4UQAX,TPM_MyMetaDataRemoteActionExtensionTest,null,ApexClass,00N0N00000Fa93oUAB,Account_Template,ACCL,CustomField
