Object, RefMetadataComponentId, RefMetadataComponentName, RefMetadataComponentNamespace, RefMetadataComponentType,ApexClass,ApexComponent,ApexPage,ApexTrigger,CustomField,EmailTemplate,FieldSet,FlexiPage,Flow,Layout,LookupFilter,ValidationRule,WaveDataflow,WebLink,WorkflowFieldUpdate
Account,00N0N00000FaQBHUA3,TEL_Sub_Status,null,CustomField,X,,,,,,,,,,,,,,
Account,00N0N00000FaQBLUA3,TEL_Updated,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000FaQBMUA3,TEL_Visit_Ok2,null,CustomField,,,,,,,,,X,,,,,,
Account,00N0N00000FaQBOUA3,TEL_Week_Year_Open,null,CustomField,X,,,,,,,,X,X,,,,,
Account,00N0N00000FaQBPUA3,TEL_Wholesaler_Account_Number,null,CustomField,X,,,,,,,,,,,,,,
Account,00N0N00000FaQBQUA3,TEL_Wholesaler_ID,null,CustomField,X,,,,,,,,,,,,,,
Account,00N0N00000FaQBRUA3,TEL_Wholesaler,null,CustomField,X,,,,X,,,,X,X,,,X,,
Account,00N0N00000FaVOXUA3,DEX_AccountTemplate,null,CustomField,X,,,,,,,,,,,,,,
Account,00N0N00000FaVOYUA3,DEX_Account_Status,null,CustomField,X,,,,X,,X,,X,X,,,X,,
Account,00N0N00000FaVOaUAN,DEX_Best_Call_Time,null,CustomField,X,,,,,,,,,X,,,,,
Account,00N0N00000FaVObUAN,DEX_Best_Email_Time,null,CustomField,,,,,,,,,,X,,,,,
Account,00N0N00000FaVOcUAN,DEX_CallBeforeVisit,null,CustomField,,,,,,,,,,X,,,,,
Account,00N0N00000FaVOdUAN,DEX_ClosingTimeWorkingDay,null,CustomField,X,,,,,,,,X,X,,,,,
Account,00N0N00000FaVOeUAN,DEX_ConvenienceLevel,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000FaVOfUAN,DEX_Convertion_Prospect,null,CustomField,X,,,,,,,,,,,,,,
Account,00N0N00000FaVOgUAN,DEX_FoCProductAllowed,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000FaVOiUAN,DEX_LargeIndependentOperator,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000FaVOkUAN,DEX_LicenseAlcohol,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000FaVOlUAN,DEX_Loyalty_Managemet_Opt_In,null,CustomField,X,,,,,,,,,,,,,,
Account,00N0N00000FaVOmUAN,DEX_Marketing_Opt_In_Flag,null,CustomField,,,,,,,,,,X,,,,,
Account,00N0N00000FaVOoUAN,DEX_Number_Customers_Buying_UFS_Products,null,CustomField,,,,,,,,,,X,,,,,
Account,00N0N00000FaVOpUAN,DEX_OpeningTimeWorkingDay,null,CustomField,X,,,,,,,,X,X,,,,,
Account,00N0N00000FaVOqUAN,DEX_ParentSegment,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000FaVOrUAN,DEX_PermittedOrder,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HIUJDUA5,REX_Account_Number,null,CustomField,X,X,X,,,,,,,,,,X,,
Account,00N0N00000FaVOtUAN,DEX_PreferredDeliveryDays,null,CustomField,X,,,,,,,,X,X,,,,,
Account,00N0N00000FaVOuUAN,DEX_PreferredVisitDays,null,CustomField,,,,,,,,,X,,,,,,
Account,00N0N00000FaVOvUAN,DEX_PreferredVisitEndTime,null,CustomField,,,,,,,,,X,,,,,,
Account,00N0N00000FaVOwUAN,DEX_PreferredVisitStartTime,null,CustomField,,,,,,,,,X,,,,,,
Account,00N0N00000FaVOxUAN,DEX_PreferredVisitWeek,null,CustomField,,,,,,,,,X,,,,,,
Account,00N0N00000FaVP1UAN,DEX_SSDPermitted,null,CustomField,,,,,,,,,,X,,,,,
Account,00N0N00000FaVP2UAN,DEX_Segment,null,CustomField,,,,,X,,,,,,,,,,
Account,00N0N00000FaVP3UAN,DEX_Site_Score,null,CustomField,,,,,,,,,,X,,,,,
Account,00N0N00000FaVP4UAN,DEX_SubSegment,null,CustomField,X,,,,,,,,X,,,,,,
Account,00N0N00000FaVP5UAN,DEX_Telesales,null,CustomField,,,,,,,,,X,,,,,,
Account,00N0N00000FaVP6UAN,DEX_TendePlace,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000FaVP8UAN,DEX_Webshop_Registered,null,CustomField,,,,,,,,,,X,,,,,
Account,00N0N00000FaVP9UAN,DEX_Wholesaler_in_Buying_Group,null,CustomField,X,,,,,,,,,,,,,,
Account,00N0N00000FaVPAUA3,DEX_Wholesalers_Top_10_Customers,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000FaVytUAF,DEX_Number_of_Buying_Customers,null,CustomField,,,,,,,,,,X,,,,,
Account,00N0N00000Gk8ASUAZ,TEL_Account_Status,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000Gk8ATUAZ,TEL_Account_Type_DEX_ROLE,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000FaQAzUAN,TEL_Parent_Segment,null,CustomField,X,,,,X,,X,,X,X,,,X,,
Account,00N0N00000GkAJMUA3,DEX_IndirectAccount,null,CustomField,X,,,,,,X,,X,X,,,X,,
Account,00N0N00000FaVOsUAN,DEX_PreferredCommMethod,null,CustomField,X,,,,,,,,X,X,,,,,
Account,00N0N00000HIUJEUA5,REX_Chain,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HIUJGUA5,REX_DeliveryBlock,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HIUJHUA5,REX_Delivery_Day_s_Foods,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HIUJIUA5,REX_Fixed_Merchandiser_Rate,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HIUJJUA5,REX_Level_1_Id,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HIUJNUA5,REX_Level_5_Id,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HIUJPUA5,REX_Level_7_Id,null,CustomField,X,,,,,,,,,,,,,,
Account,00N0N00000HIUJRUA5,REX_Merchandiser_Day_s_Foods,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HIUJSUA5,REX_OrderBlock,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HIUJTUA5,REX_POS_Format,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HIUJUUA5,REX_Visit_Day,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HIUJVUA5,REX_Wholesaler,null,CustomField,X,,,,,,,,,,,,,,
Account,00N0N00000HV7qkUAD,REX_Account_Unique_Num,null,CustomField,,,,,,,,,,,,,,,X
Account,00N0N00000HV7qlUAD,REX_Area,null,CustomField,X,X,,,,X,,,,,,,,,
Account,00N0N00000HIxy5UAD,DEX_KeyNumber,null,CustomField,X,,,,,,,,,X,,,,,
Account,00N0N00000HIxy8UAD,DEX_OwnerSAPID,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HIxyBUAT,DEX_PushProspect,null,CustomField,,,,,,,,,,,,,,,
Account,00N3X00000MHtu8UAD,REX_GrowthOpportunity,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HIxy0UAD,DEX_Contract2,null,CustomField,,,,,,,,,,X,,,,,
Account,00N0N00000HIxy1UAD,DEX_ContractFrom,null,CustomField,X,,,,,,,,,X,,,,,
Account,00N0N00000HV7qmUAD,REX_Assortment,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HV7qnUAD,REX_Category,null,CustomField,,,,,,,,,,,,,X,,
Account,00N0N00000HV7qoUAD,REX_Customer_Cl_Information,null,CustomField,,,,,,,,,,,,,,,
Account,00N0N00000HV7qpUAD,REX_Customer_Manager,null,CustomField,,,,,,,,,,,,,,,
